Day	dC	E	E to I	I	I to R	lambda	N	out of dC	par beta	par gamma	par sigma	R	S	S to E	to dC
36	28.8570955713	54.8169182167	27.5906607919	64.2544212519	32.2739360843	0.0642544212519	1000	0	1	0.5	0.5	545.147357975	335.781302556	21.7616422623	27.5906607919
37	25.9503442011	48.9936179664	24.6775943962	59.2984821809	29.8098373274	0.0592984821809	1000	0	1	0.5	0.5	576.053641247	315.654258605	18.8895034006	24.6775943962
38	23.0683356671	43.3188315992	21.8330974811	54.0270534504	27.1807102152	0.0540270534504	1000	0	1	0.5	0.5	604.393405645	298.260709305	16.2690888877	21.8330974811
39	20.3009100853	37.9447834364	19.1349855367	48.6569173506	24.4959399355	0.0486569173506	1000	0	1	0.5	0.5	630.06445183	283.333847383	13.9236484065	19.1349855367
40	17.7109622517	32.9717787693	16.6349436803	43.3682052535	21.8468334774	0.0433682052535	1000	0	1	0.5	0.5	653.064126179	270.595889798	11.8556733333	16.6349436803
41	15.3371500179	28.4556018885	14.3621267506	38.2998675354	19.3041663467	0.0382998675354	1000	0	1	0.5	0.5	673.469613915	259.774916661	10.0537167242	14.3621267506
42	13.1981577786	24.4168028914	12.32777389	33.5503113824	16.9183640641	0.0335503113824	1000	0	1	0.5	0.5	691.417327846	250.61555788	8.49796929751	12.32777389
43	11.2974150047	20.8500446662	10.5298993173	29.1815014163	14.7214683955	0.0291815014163	1000	0	1	0.5	0.5	707.083552817	242.8849011	7.16442055469	10.5298993173
44	9.62754417313	17.7324216785	8.95749350492	25.2249300445	12.7300841692	0.0252249300445	1000	0	1	0.5	0.5	720.667668362	236.374979915	6.0277333881	8.95749350492
45	8.17415082566	15.0302591155	7.59397310298	21.6881962507	10.9486640885	0.0216881962507	1000	0	1	0.5	0.5	732.378552982	230.902991652	5.06308467747	7.59397310298
46	6.91881922704	12.7043059569	6.4198264112	18.5613269563	9.37268638076	0.0185613269563	1000	0	1	0.5	0.5	742.424241503	226.310125584	4.24724172993	6.4198264112
47	5.8413347171	10.7134673408	5.41452193152	15.8223361287	7.99146260441	0.0158223361287	1000	0	1	0.5	0.5	751.004567048	222.459629483	3.55910974878	5.41452193152
48	4.92123566678	9.01732520002	4.55780264332	13.4417980945	6.79045633983	0.0134417980945	1000	0	1	0.5	0.5	758.306340749	219.234535957	2.97993376313	4.55780264332
