Days	Contacts	Infected	Infectious Duration	Infectivity	IR	N	Removed	RR	Susceptible
11.375	10	1661.71371213	2	0.2	119.946708941	10000	7977.37361059	830.856856067	360.912677272
11.5	10	1572.84994374	2	0.2	108.815842468	10000	8081.2307176	786.424971872	345.919338654
11.625	10	1488.14880257	2	0.2	98.9075357788	10000	8179.53383909	744.074401284	332.317358345
11.75	10	1407.50294438	2	0.2	90.0672158722	10000	8272.54313925	703.75147219	319.953916373
11.875	10	1330.79241234	2	0.2	82.1619296545	10000	8360.51207327	665.39620617	308.695514389
12	10	1257.88812778	2	0.2	75.0771216328	10000	8443.68659904	628.944063888	298.425273182
12.125	10	1188.65475999	2	0.2	68.7139048442	10000	8522.30460703	594.327379997	289.040632978
12.25	10	1122.9530756	2	0.2	62.9867512857	10000	8596.59552953	561.4765378	280.451394873
12.375	10	1060.64185229	2	0.2	57.8215377729	10000	8666.78009675	530.320926143	272.578050962
12.5	10	1001.57942874	2	0.2	53.1538921446	10000	8733.07021252	500.78971437	265.35035874
12.625	10	945.624950961	2	0.2	48.9277928279	10000	8795.66892682	472.81247548	258.706122222
12.75	10	892.639365629	2	0.2	45.0943819162	10000	8854.77048625	446.319682815	252.590148119
12.875	10	842.486203017	2	0.2	41.6109580967	10000	8910.5604466	421.243101509	246.953350379
13	10	795.032185091	2	0.2	38.44012108	10000	8963.21583429	397.516092545	241.751980617
13.125	10	750.147688657	2	0.2	35.5490436982	10000	9012.90534586	375.073844329	236.946965482
13.25	10	707.707088579	2	0.2	32.9088516623	10000	9059.7895764	353.853544289	232.50333502
13.375	10	667.589002	2	0.2	30.4940941916	10000	9104.02126944	333.794501	228.389728562
13.5	10	629.676451149	2	0.2	28.2822914267	10000	9145.74558206	314.838225575	224.577966788
13.625	10	593.856959381	2	0.2	26.2535468104	10000	9185.10036026	296.92847969	221.04268036
13.75	10	560.022592771	2	0.2	24.3902145098	10000	9222.21642022	280.011296385	217.760987008
13.875	10	528.069957536	2	0.2	22.676613544	10000	9257.21783227	264.034978768	214.712210195
14	10	497.900161883	2	0.2	21.098781604	10000	9290.22220462	248.950080942	211.877633502
14.125	10	469.418749466	2	0.2	19.6442626597	10000	9321.34096473	234.709374733	209.240285801
14.25	10	442.535610457	2	0.2	18.3019233776	10000	9350.67963657	221.267805228	206.784752969
14.375	10	417.164875226	2	0.2	17.0617941446	10000	9378.33811223	208.582437613	204.497012547
14.5	10	393.224794792	2	0.2	15.9149311463	10000	9404.41091693	196.612397396	202.364288278
14.625	10	370.637611511	2	0.2	14.8532964908	10000	9428.9874666	185.318805755	200.374921885
14.75	10	349.329422853	2	0.2	13.869653826	10000	9452.15231732	174.664711426	198.518259824
14.875	10	329.230040653	2	0.2	12.9574772831	10000	9473.98540625	164.615020326	196.784553096
15	10	310.272847772	2	0.2	12.1108719029	10000	9494.56228379	155.136423886	195.164868435
15.125	10	292.394653774	2	0.2	11.3245039721	10000	9513.95433678	146.197326887	193.651009447
15.25	10	275.53555091	2	0.2	10.5935399285	10000	9532.22900264	137.767775455	192.235446451
15.375	10	259.638771469	2	0.2	9.91359268755	10000	9549.44997457	129.819385735	190.91125396
15.5	10	244.650547338	2	0.2	9.28067440793	10000	9565.67739779	122.325273669	189.672054874
15.625	10	230.519972431	2	0.2	8.69115485186	10000	9580.968057	115.259986215	188.511970573
15.75	10	217.19886851	2	0.2	8.14172461681	10000	9595.37555527	108.599434255	187.425576216
15.875	10	204.641654805	2	0.2	7.62936261399	10000	9608.95048456	102.320827403	186.407860639
16	10	192.805221707	2	0.2	7.15130725593	10000	9621.74058798	96.4026108534	185.454190312
16.125	10	181.648808757	2	0.2	6.70503088875	10000	9633.79091434	90.8244043786	184.560276906
16.25	10	171.133887071	2	0.2	6.28821706717	10000	9645.14396488	85.5669435355	183.722148044
16.375	10	161.224046262	2	0.2	5.89874032416	10000	9655.83983283	80.6120231312	182.936120911
16.5	10	151.884885911	2	0.2	5.5346481332	10000	9665.91633572	75.9424429557	182.19877837
16.625	10	143.083911559	2	0.2	5.19414480049	10000	9675.40914109	71.5419557793	181.506947354
16.75	10	134.790435186	2	0.2	4.87557705868	10000	9684.35188556	67.3952175932	180.857679254
16.875	10	126.97548012	2	0.2	4.57742116286	10000	9692.77628776	63.4877400598	180.248232121
17	10	119.611690257	2	0.2	4.29827131493	10000	9700.71225527	59.8058451287	179.676054476
